filename,filepath,label,width,height,channels,pixels,megapixels,aspect_ratio,brightness,contrast,entropy,r_mean,r_std,g_mean,g_std,b_mean,b_std,noise_mean,noise_std,ela_mean,ela_std,ela_max,fft_center,fft_total
43986.png,train_images\authentic\43986.png,authentic,3888,2592,3,10077696,10.0777,1.5,170.61,29.56,6.4237,153.18,33.1,191.27,35.8,109.93,43.27,0.9619,1.9112,1.3244,1.2457,47.0,14.9721,8.214
43994.png,train_images\authentic\43994.png,authentic,1000,666,3,666000,0.666,1.5015,144.2,55.92,7.4213,172.3,56.58,136.06,61.18,112.35,52.06,6.8794,6.4256,3.6901,3.212,35.0,13.2654,8.4985
44000.png,train_images\authentic\44000.png,authentic,320,256,3,81920,0.0819,1.25,167.52,50.41,6.9224,179.29,36.99,155.78,62.99,197.12,24.66,1.6879,1.6922,2.8653,2.5788,53.0,11.6705,5.7094
44040.png,train_images\authentic\44040.png,authentic,1600,1200,3,1920000,1.92,1.3333,5.2,4.79,3.5845,9.11,6.4,4.22,4.85,0.15,0.75,0.6045,0.6265,0.6774,0.7928,37.0,12.052,6.8174
44074.png,train_images\authentic\44074.png,authentic,256,256,3,65536,0.0655,1.0,18.15,14.88,3.6273,18.15,14.88,18.15,14.88,18.15,14.88,0.9976,1.8202,0.7271,0.8396,11.0,10.3233,6.0403
44122.png,train_images\authentic\44122.png,authentic,360,360,3,129600,0.1296,1.0,8.2,7.0,3.3784,8.2,7.0,8.2,7.0,8.2,7.0,0.409,0.3508,0.3783,0.5111,3.0,9.8342,5.2422
44157.png,train_images\authentic\44157.png,authentic,878,1087,3,954386,0.9544,0.8077,121.67,45.31,7.4114,147.39,39.26,101.95,49.15,155.69,48.79,4.763,4.5147,3.1827,3.2521,50.0,13.5451,7.6687
44187.png,train_images\authentic\44187.png,authentic,795,447,3,355365,0.3554,1.7785,120.78,54.86,7.6353,146.96,48.46,104.8,57.07,134.36,64.61,5.9601,5.4175,4.4564,4.1434,56.0,12.447,7.6783
44208.png,train_images\authentic\44208.png,authentic,630,158,3,99540,0.0995,3.9873,192.84,12.06,5.1508,192.84,12.06,192.84,12.06,192.84,12.06,0.4663,0.4316,0.4445,0.5615,4.0,8.9304,5.0191
44212.png,train_images\authentic\44212.png,authentic,3888,2592,3,10077696,10.0777,1.5,165.15,24.66,6.3183,137.82,32.08,188.0,28.45,119.25,33.07,0.9365,1.3967,1.32,1.2013,22.0,14.7086,8.1481
44231.png,train_images\authentic\44231.png,authentic,610,310,3,189100,0.1891,1.9677,212.15,50.06,6.3972,211.47,50.03,212.28,50.03,212.73,50.22,1.239,7.4385,0.6872,0.6713,11.0,11.3835,5.3938
44267.png,train_images\authentic\44267.png,authentic,884,110,3,97240,0.0972,8.0364,206.16,41.03,4.6621,206.16,41.03,206.16,41.03,206.16,41.03,1.1456,1.33,0.8984,0.8293,8.0,10.6277,5.9167
44291.png,train_images\authentic\44291.png,authentic,1024,1024,3,1048576,1.0486,1.0,183.44,50.12,6.9867,183.44,50.12,183.44,50.12,183.44,50.12,11.9515,12.8474,2.1962,2.0311,20.0,13.2081,9.1954
44298.png,train_images\authentic\44298.png,authentic,1600,1200,3,1920000,1.92,1.3333,3.08,10.49,2.6201,5.73,14.29,2.28,10.41,0.21,1.55,0.3905,1.0751,0.5501,0.8679,38.0,12.7238,6.9723
44311.png,train_images\authentic\44311.png,authentic,1600,1200,3,1920000,1.92,1.3333,35.15,17.15,5.016,56.25,21.47,30.68,18.06,2.78,2.48,1.2467,1.5468,1.3193,1.1925,44.0,13.5086,7.5312
44347.png,train_images\authentic\44347.png,authentic,1000,666,3,666000,0.666,1.5015,148.14,43.13,6.8875,183.62,42.24,140.28,49.53,95.52,50.59,4.2995,4.0447,3.0022,2.7283,34.0,13.0114,8.089
44408.png,train_images\authentic\44408.png,authentic,320,256,3,81920,0.0819,1.25,169.57,12.57,3.7477,177.55,10.79,157.93,15.59,208.58,2.58,0.7367,1.0689,1.2528,1.2408,22.0,10.203,5.3774
44420.png,train_images\authentic\44420.png,authentic,320,256,3,81920,0.0819,1.25,180.12,34.52,5.7683,184.09,25.6,175.03,43.51,195.91,16.51,1.1555,1.3843,2.6532,2.487,39.0,11.3024,5.6064
44426.png,train_images\authentic\44426.png,authentic,847,137,3,116039,0.116,6.1825,163.74,63.26,5.2601,162.0,63.43,164.65,63.7,164.49,61.27,2.1425,8.5647,0.6343,0.7808,11.0,11.0545,5.4007
44475.png,train_images\authentic\44475.png,authentic,256,256,3,65536,0.0655,1.0,21.35,24.58,3.9787,21.35,24.58,21.35,24.58,21.35,24.58,1.4774,3.2885,0.7946,0.9416,13.0,10.6129,6.3742
44554.png,train_images\authentic\44554.png,authentic,556,96,3,53376,0.0534,5.7917,216.86,21.54,4.7885,216.95,21.57,216.85,21.54,216.81,21.53,1.2868,1.1217,0.7635,0.7186,5.0,9.7646,5.3654
44575.png,train_images\authentic\44575.png,authentic,2592,3888,3,10077696,10.0777,0.6667,183.71,26.47,6.0613,158.56,27.4,207.82,29.8,125.59,34.83,0.939,1.5768,1.0996,1.0601,26.0,14.8622,8.1502
4460.png,train_images\authentic\4460.png,authentic,1600,1200,3,1920000,1.92,1.3333,4.22,4.89,3.1735,7.78,6.33,3.22,5.01,0.14,0.9,0.6439,0.7391,0.6926,0.8049,46.0,12.2365,6.8945
44600.png,train_images\authentic\44600.png,authentic,256,256,3,65536,0.0655,1.0,6.43,8.23,2.5046,6.43,8.23,6.43,8.23,6.43,8.23,0.569,0.7956,0.4738,0.578,6.0,9.6472,5.4195
44622.png,train_images\authentic\44622.png,authentic,538,167,3,89846,0.0898,3.2216,215.63,42.98,6.4918,215.63,42.98,215.63,42.98,215.63,42.98,0.6012,0.6378,0.4646,0.5536,4.0,10.5906,4.9677
44640.png,train_images\authentic\44640.png,authentic,401,112,3,44912,0.0449,3.5804,180.11,21.17,4.9634,178.68,21.03,180.12,21.24,182.69,21.35,2.5626,7.8189,1.3388,1.1553,11.0,8.8801,5.8394
44652.png,train_images\authentic\44652.png,authentic,512,512,3,262144,0.2621,1.0,109.65,53.27,7.528,109.65,53.27,109.65,53.27,109.65,53.27,23.7189,27.4635,2.9633,2.376,20.0,11.3328,9.6629
44656.png,train_images\authentic\44656.png,authentic,256,256,3,65536,0.0655,1.0,5.95,7.62,2.4454,5.95,7.62,5.95,7.62,5.95,7.62,0.5116,0.5634,0.4432,0.5507,4.0,9.6134,5.0867
44666.png,train_images\authentic\44666.png,authentic,502,137,3,68774,0.0688,3.6642,168.99,16.46,4.5468,169.2,16.5,168.98,16.46,169.03,16.44,1.1485,0.9923,1.0007,0.8739,7.0,8.8098,5.7417
44701.png,train_images\authentic\44701.png,authentic,1000,666,3,666000,0.666,1.5015,141.71,42.97,6.965,173.37,38.33,133.82,50.01,99.23,59.41,4.0426,4.707,2.6104,2.6259,36.0,12.902,8.0715
44749.png,train_images\authentic\44749.png,authentic,2568,1912,3,4910016,4.91,1.3431,30.81,19.41,4.9801,30.81,19.41,30.81,19.41,30.81,19.41,0.4204,0.3206,0.4172,0.5159,4.0,14.7618,6.7092
44750.png,train_images\authentic\44750.png,authentic,1220,902,3,1100440,1.1004,1.3525,153.37,41.74,7.2688,167.66,36.7,134.69,47.81,212.03,33.66,3.1615,3.2812,2.997,3.0862,47.0,13.767,7.4845
44751.png,train_images\authentic\44751.png,authentic,2592,3888,3,10077696,10.0777,0.6667,168.0,29.03,6.4199,147.89,31.13,189.34,34.55,110.92,41.49,1.0823,1.8824,1.2056,1.1643,24.0,14.9557,8.3155
4481.png,train_images\authentic\4481.png,authentic,1399,165,3,230835,0.2308,8.4788,212.76,72.02,5.4831,212.76,72.02,212.76,72.02,212.76,72.02,1.101,2.4022,0.5391,0.5976,5.0,12.013,5.6408
44825.png,train_images\authentic\44825.png,authentic,633,512,3,324096,0.3241,1.2363,148.15,73.45,7.5093,148.15,73.45,148.15,73.45,148.15,73.45,9.384,8.3004,2.4322,1.9255,16.0,12.7567,8.2968
44838.png,train_images\authentic\44838.png,authentic,592,512,3,303104,0.3031,1.1562,143.68,40.14,6.9997,143.68,40.14,143.68,40.14,143.68,40.14,2.0931,2.1368,0.8761,0.8296,8.0,12.5828,6.6822
4490.png,train_images\authentic\4490.png,authentic,1600,1200,3,1920000,1.92,1.3333,3.6,3.18,3.045,6.92,4.28,2.62,3.23,0.1,0.63,0.5939,0.5933,0.6418,0.7606,28.0,11.6019,6.7823
44928.png,train_images\authentic\44928.png,authentic,256,256,3,65536,0.0655,1.0,4.37,4.85,1.9118,4.37,4.85,4.37,4.85,4.37,4.85,0.4978,0.5136,0.4575,0.5436,5.0,9.2167,5.1351
44940.png,train_images\authentic\44940.png,authentic,1600,1200,3,1920000,1.92,1.3333,5.84,11.97,3.8962,10.27,16.29,4.68,11.86,0.34,1.78,0.6148,1.2258,0.6951,0.9622,45.0,12.8262,7.1647
45004.png,train_images\authentic\45004.png,authentic,256,256,3,65536,0.0655,1.0,10.06,14.36,3.5535,10.06,14.36,10.06,14.36,10.06,14.36,0.556,0.8191,0.4199,0.5811,9.0,10.1326,5.3334
45030.png,train_images\authentic\45030.png,authentic,687,512,3,351744,0.3517,1.3418,82.98,22.38,5.2045,82.98,22.38,82.98,22.38,82.98,22.38,3.2144,7.1508,1.0101,1.0039,14.0,11.3134,7.5214
4508.png,train_images\authentic\4508.png,authentic,2568,1912,3,4910016,4.91,1.3431,23.43,9.88,4.51,23.43,9.88,23.43,9.88,23.43,9.88,0.396,0.2897,0.3943,0.5027,4.0,14.0363,6.6291
45133.png,train_images\authentic\45133.png,authentic,256,256,3,65536,0.0655,1.0,4.39,6.83,2.2111,4.39,6.83,4.39,6.83,4.39,6.83,0.5021,0.6945,0.4302,0.5491,6.0,9.5455,5.2884
45139.png,train_images\authentic\45139.png,authentic,1000,666,3,666000,0.666,1.5015,143.06,50.48,7.4471,202.31,50.48,127.55,53.42,67.53,58.05,3.8666,3.2883,3.0801,2.8254,34.0,13.1002,8.0194
45152.png,train_images\authentic\45152.png,authentic,360,360,3,129600,0.1296,1.0,10.62,8.75,3.453,10.62,8.75,10.62,8.75,10.62,8.75,0.4407,0.387,0.3982,0.53,3.0,10.1076,5.3231
45180.png,train_images\authentic\45180.png,authentic,1024,1024,3,1048576,1.0486,1.0,84.0,44.16,7.3043,24.18,32.31,130.79,72.51,0.0,0.0,12.9253,12.0357,9.2137,10.3333,109.0,12.6845,9.2716
45182.png,train_images\authentic\45182.png,authentic,3888,2592,3,10077696,10.0777,1.5,169.73,24.12,6.1001,140.7,24.28,193.56,28.4,123.11,28.77,0.898,1.4761,1.2901,1.1724,35.0,14.6944,8.169
45202.png,train_images\authentic\45202.png,authentic,136,171,3,23256,0.0233,0.7953,127.54,31.5,6.931,136.18,32.68,106.45,34.35,213.48,29.77,5.7907,5.5812,4.2556,3.8624,44.0,9.8721,6.3087
45269.png,train_images\authentic\45269.png,authentic,1600,1200,3,1920000,1.92,1.3333,49.46,14.26,5.4304,77.82,18.79,43.85,14.5,4.0,2.05,1.2998,1.2991,1.4007,1.2071,42.0,13.2017,7.4584
45287.png,train_images\authentic\45287.png,authentic,696,520,3,361920,0.3619,1.3385,6.48,5.85,2.8246,21.25,19.61,0.0,0.0,0.18,1.63,0.5843,1.0305,1.1152,2.272,111.0,10.7049,6.3446
45310.png,train_images\authentic\45310.png,authentic,1600,1200,3,1920000,1.92,1.3333,6.18,4.66,3.5884,10.51,6.33,5.14,4.68,0.2,0.74,0.6537,0.6384,0.7378,0.834,27.0,12.0366,6.8554
45315.png,train_images\authentic\45315.png,authentic,1000,666,3,666000,0.666,1.5015,88.16,35.74,6.4475,52.73,49.55,102.78,31.83,105.67,33.18,6.0055,6.5473,3.1258,2.5194,27.0,12.6492,8.5684
45345.png,train_images\authentic\45345.png,authentic,696,520,3,361920,0.3619,1.3385,5.73,5.27,2.5033,16.79,14.4,0.0,0.0,6.88,14.76,0.3942,0.8132,1.1888,2.2664,102.0,10.7462,6.0461
45377.png,train_images\authentic\45377.png,authentic,696,520,3,361920,0.3619,1.3385,6.08,5.3,2.6305,18.28,15.5,0.0,0.0,6.05,12.17,0.437,0.8839,1.203,2.2591,92.0,10.5791,6.1485
45381.png,train_images\authentic\45381.png,authentic,512,512,3,262144,0.2621,1.0,55.69,55.17,6.616,55.69,55.17,55.69,55.17,55.69,55.17,24.786,27.0964,2.6511,2.4051,19.0,11.6554,9.6782
45400.png,train_images\authentic\45400.png,authentic,1600,1200,3,1920000,1.92,1.3333,4.43,6.32,3.3616,7.92,8.21,3.51,6.47,0.18,1.05,0.6614,0.8173,0.7078,0.8471,31.0,12.2747,6.9847
45496.png,train_images\authentic\45496.png,authentic,258,531,3,136998,0.137,0.4859,182.33,27.25,6.5889,179.96,28.36,181.68,28.79,191.55,22.43,0.7876,0.9224,0.7861,0.9164,15.0,10.5184,5.4222
45522.png,train_images\authentic\45522.png,authentic,460,106,3,48760,0.0488,4.3396,160.6,72.53,7.4387,163.6,72.53,159.6,72.53,158.31,70.92,0.9434,0.9066,0.6486,0.7125,7.0,9.0214,5.0859
45536.png,train_images\authentic\45536.png,authentic,580,512,3,296960,0.297,1.1328,117.14,39.45,7.177,117.14,39.45,117.14,39.45,117.14,39.45,2.6114,3.0794,0.9522,0.882,8.0,12.5553,6.7257
45552.png,train_images\authentic\45552.png,authentic,1307,1153,3,1506971,1.507,1.1336,101.59,52.29,6.9531,146.64,38.76,66.3,62.32,165.12,42.86,1.8743,2.1877,1.4982,1.4234,21.0,14.3983,7.3356
4556.png,train_images\authentic\4556.png,authentic,256,256,3,65536,0.0655,1.0,9.02,15.61,3.3715,9.02,15.61,9.02,15.61,9.02,15.61,0.9635,1.6618,0.6427,0.7566,9.0,10.1887,5.8441
45563.png,train_images\authentic\45563.png,authentic,517,85,3,43945,0.0439,6.0824,201.1,51.16,5.8396,201.1,51.16,201.1,51.16,201.1,51.16,1.0026,4.1189,0.6111,0.6369,4.0,9.432,5.2079
45602.png,train_images\authentic\45602.png,authentic,664,512,3,339968,0.34,1.2969,216.74,27.93,5.0697,216.74,27.93,216.74,27.93,216.74,27.93,2.1421,4.2572,0.8138,0.8377,15.0,12.2239,7.114
45620.png,train_images\authentic\45620.png,authentic,1282,212,3,271784,0.2718,6.0472,211.87,73.21,5.1449,212.2,73.38,211.81,73.18,212.08,73.32,0.6361,1.0688,0.591,0.585,5.0,12.2738,5.3701
45686.png,train_images\authentic\45686.png,authentic,437,132,3,57684,0.0577,3.3106,167.15,46.66,5.9608,167.15,46.66,167.15,46.66,167.15,46.66,1.5635,4.9804,0.5761,0.6138,5.0,9.6604,5.3349
45710.png,train_images\authentic\45710.png,authentic,242,907,3,219494,0.2195,0.2668,179.52,71.04,7.0964,179.52,71.04,179.52,71.04,179.52,71.04,1.1155,2.6657,0.6916,0.7023,7.0,11.5576,6.181
45712.png,train_images\authentic\45712.png,authentic,256,256,3,65536,0.0655,1.0,10.4,12.32,4.231,10.4,12.32,10.4,12.32,10.4,12.32,0.5725,0.7873,0.4167,0.5882,5.0,10.1734,5.2989
45720.png,train_images\authentic\45720.png,authentic,585,482,3,281970,0.282,1.2137,217.03,37.73,5.1914,222.17,32.91,212.27,43.18,227.79,26.66,3.2191,5.0862,2.5183,3.5876,50.0,12.3764,7.3852
45767.png,train_images\authentic\45767.png,authentic,858,204,3,175032,0.175,4.2059,232.44,46.56,4.3892,232.11,46.53,232.47,46.56,232.58,46.58,1.9874,6.7157,0.8491,0.794,7.0,11.5314,5.8906
45784.png,train_images\authentic\45784.png,authentic,256,256,3,65536,0.0655,1.0,17.35,14.13,3.1686,17.35,14.13,17.35,14.13,17.35,14.13,0.8623,1.6904,0.669,0.7677,11.0,10.2048,5.9169
45821.png,train_images\authentic\45821.png,authentic,256,256,3,65536,0.0655,1.0,4.57,6.54,2.299,4.57,6.54,4.57,6.54,4.57,6.54,0.5048,0.6402,0.4354,0.5483,4.0,9.4753,5.1724
45838.png,train_images\authentic\45838.png,authentic,1600,1200,3,1920000,1.92,1.3333,14.4,15.83,4.188,21.71,19.18,13.33,16.99,0.72,1.66,0.7796,0.8832,0.8534,0.9034,55.0,13.4658,7.0752
45866.png,train_images\authentic\45866.png,authentic,565,73,3,41245,0.0412,7.7397,165.09,83.42,6.9571,165.09,83.42,165.09,83.42,165.09,83.42,1.2737,1.3906,0.6992,0.706,5.0,9.2681,5.2034
45878.png,train_images\authentic\45878.png,authentic,768,512,3,393216,0.3932,1.5,133.67,28.74,6.7838,133.67,28.74,133.67,28.74,133.67,28.74,8.861,7.1087,2.1268,1.6816,14.0,12.0365,8.1698
45889.png,train_images\authentic\45889.png,authentic,1170,137,3,160290,0.1603,8.5401,145.53,21.23,4.3336,105.94,15.78,157.51,22.56,187.52,29.64,0.4551,0.3948,0.9672,0.9274,9.0,9.9783,5.1757
45911.png,train_images\authentic\45911.png,authentic,166,132,3,21912,0.0219,1.2576,123.68,38.87,7.1745,132.06,43.28,103.13,41.49,207.49,34.41,4.5154,4.764,3.8368,3.6713,45.0,10.0056,6.155
45913.png,train_images\authentic\45913.png,authentic,256,256,3,65536,0.0655,1.0,25.4,32.89,3.9952,25.4,32.89,25.4,32.89,25.4,32.89,2.4031,5.0128,1.0105,1.2272,14.0,10.8719,6.7544
4592.png,train_images\authentic\4592.png,authentic,612,512,3,313344,0.3133,1.1953,136.23,33.46,5.9279,136.23,33.46,136.23,33.46,136.23,33.46,1.5126,2.6519,0.6421,0.6655,11.0,12.11,6.5502
45958.png,train_images\authentic\45958.png,authentic,1445,1136,3,1641520,1.6415,1.272,131.79,43.47,7.3357,150.31,37.42,114.39,47.44,172.77,43.64,3.6362,3.5358,2.3157,2.3218,36.0,13.9971,7.7248
46006.png,train_images\authentic\46006.png,authentic,1042,233,3,242786,0.2428,4.4721,46.3,37.11,5.836,46.3,37.11,46.3,37.11,46.3,37.11,0.7662,1.3897,0.4405,0.5385,3.0,10.928,5.4161
46083.png,train_images\authentic\46083.png,authentic,360,360,3,129600,0.1296,1.0,9.56,7.94,3.6824,9.56,7.94,9.56,7.94,9.56,7.94,0.4406,0.3688,0.4028,0.5264,3.0,10.0546,5.296
4609.png,train_images\authentic\4609.png,authentic,696,520,3,361920,0.3619,1.3385,5.03,4.25,2.1455,14.66,12.19,0.0,0.0,6.09,9.61,0.3353,0.6367,0.8838,1.7158,85.0,10.3444,5.8497
46098.png,train_images\authentic\46098.png,authentic,465,80,3,37200,0.0372,5.8125,189.55,78.97,6.7138,189.55,78.97,189.55,78.97,189.55,78.97,1.2618,1.2057,0.6096,0.6366,4.0,9.486,4.9419
46106.png,train_images\authentic\46106.png,authentic,512,512,3,262144,0.2621,1.0,157.54,51.88,7.3726,157.54,51.88,157.54,51.88,157.54,51.88,10.3805,16.4322,2.0975,1.8033,17.0,11.9548,8.6839
46109.png,train_images\authentic\46109.png,authentic,527,192,3,101184,0.1012,2.7448,148.23,57.81,7.5631,170.76,55.73,129.76,62.93,184.2,50.43,7.2785,6.5522,3.7205,3.8321,55.0,11.6695,6.9711
46171.png,train_images\authentic\46171.png,authentic,440,65,3,28600,0.0286,6.7692,163.38,5.35,3.1794,163.63,5.37,163.38,5.35,163.43,5.35,0.8036,0.6966,0.7278,0.686,6.0,7.7952,4.9765
46175.png,train_images\authentic\46175.png,authentic,741,512,3,379392,0.3794,1.4473,127.92,55.83,7.661,127.92,55.83,127.92,55.83,127.92,55.83,9.1031,7.8828,2.3278,1.8418,15.0,12.9914,8.315
46202.png,train_images\authentic\46202.png,authentic,2568,1912,3,4910016,4.91,1.3431,45.01,35.55,6.0227,45.01,35.55,45.01,35.55,45.01,35.55,0.5251,0.4998,0.4664,0.5505,5.0,15.2632,6.9541
46206.png,train_images\authentic\46206.png,authentic,917,951,3,872067,0.8721,0.9642,137.18,30.24,6.7883,162.2,23.89,116.39,33.65,178.63,33.57,3.0672,3.1496,2.0727,2.1568,37.0,13.0086,7.3554
46212.png,train_images\authentic\46212.png,authentic,256,256,3,65536,0.0655,1.0,22.94,27.18,4.0343,22.94,27.18,22.94,27.18,22.94,27.18,1.8231,4.6694,0.9065,1.1459,16.0,10.8591,6.7958
46226.png,train_images\authentic\46226.png,authentic,1000,666,3,666000,0.666,1.5015,147.55,51.73,7.293,181.43,52.81,140.54,54.42,94.7,57.12,5.3209,4.3489,3.3922,3.1879,37.0,13.2247,8.1556
46243.png,train_images\authentic\46243.png,authentic,534,74,3,39516,0.0395,7.2162,160.95,43.87,5.704,160.95,43.87,160.95,43.87,160.95,43.87,1.1425,1.1948,0.7576,0.7555,7.0,9.2121,5.3904
46309.png,train_images\authentic\46309.png,authentic,1067,75,3,80025,0.08,14.2267,223.27,44.02,4.7088,223.27,44.02,223.27,44.02,223.27,44.02,1.2696,1.7237,0.9039,0.8582,11.0,10.1718,5.9834
46310.png,train_images\authentic\46310.png,authentic,918,717,3,658206,0.6582,1.2803,176.36,30.46,6.5325,176.36,30.46,176.36,30.46,176.36,30.46,0.9859,1.0874,0.4987,0.5672,5.0,12.5082,6.2068
46312.png,train_images\authentic\46312.png,authentic,1024,1024,3,1048576,1.0486,1.0,130.76,52.21,7.6198,130.76,52.21,130.76,52.21,130.76,52.21,12.8785,13.4343,2.4918,2.0753,19.0,12.8696,9.2891
4634.png,train_images\authentic\4634.png,authentic,256,256,3,65536,0.0655,1.0,14.31,19.14,4.6833,14.31,19.14,14.31,19.14,14.31,19.14,0.7661,1.2551,0.4895,0.6785,7.0,10.6369,5.5708
46356.png,train_images\authentic\46356.png,authentic,1189,211,3,250879,0.2509,5.6351,145.2,36.75,5.1359,103.03,19.24,157.4,40.38,192.98,65.34,1.1868,1.1379,2.2854,2.0692,76.0,10.8513,6.5095
46366.png,train_images\authentic\46366.png,authentic,512,528,3,270336,0.2703,0.9697,151.78,39.55,5.8186,151.78,39.55,151.78,39.55,151.78,39.55,4.4037,5.2055,1.6461,1.3575,14.0,12.1738,7.5232
46444.png,train_images\authentic\46444.png,authentic,336,347,3,116592,0.1166,0.9683,102.75,46.12,7.3204,134.5,39.47,81.61,48.45,128.32,55.8,4.63,4.563,3.085,2.993,39.0,11.7868,6.7289
46473.png,train_images\authentic\46473.png,authentic,1600,1200,3,1920000,1.92,1.3333,30.35,22.56,5.1385,48.38,28.93,26.6,23.51,2.39,3.07,1.1553,1.7925,1.2092,1.2668,41.0,13.6538,7.5601
4650.png,train_images\authentic\4650.png,authentic,579,170,3,98430,0.0984,3.4059,138.76,38.05,6.2404,138.76,38.05,138.76,38.05,138.76,38.05,1.0947,4.141,0.4229,0.5295,3.0,10.137,4.896
46511.png,train_images\authentic\46511.png,authentic,1000,666,3,666000,0.666,1.5015,135.08,42.9,7.0206,192.49,36.92,125.32,46.08,34.69,57.47,2.2405,1.843,2.2784,2.2086,29.0,13.1143,7.6409
46547.png,train_images\authentic\46547.png,authentic,1024,1024,3,1048576,1.0486,1.0,53.4,56.34,6.31,53.4,56.34,53.4,56.34,53.4,56.34,10.7112,14.9558,2.1554,2.2092,19.0,12.2188,9.4385
46568.png,train_images\authentic\46568.png,authentic,564,83,3,46812,0.0468,6.7952,22.14,19.24,4.6957,36.14,26.82,16.76,18.1,13.08,18.04,2.5782,11.9049,1.1865,1.3716,20.0,8.1976,4.9962
46577.png,train_images\authentic\46577.png,authentic,754,512,3,386048,0.386,1.4727,73.39,26.38,5.9705,73.39,26.38,73.39,26.38,73.39,26.38,4.6511,5.2039,2.2771,1.8077,15.0,12.0398,8.0663
46698.png,train_images\authentic\46698.png,authentic,371,70,3,25970,0.026,5.3,160.4,31.42,5.49,160.42,31.4,160.4,31.43,160.4,31.42,1.0413,0.9496,0.8483,0.8038,8.0,7.6138,5.169
46733.png,train_images\authentic\46733.png,authentic,512,512,3,262144,0.2621,1.0,157.67,67.89,7.0093,168.28,61.91,143.58,76.4,202.27,50.03,3.8626,4.8432,2.9351,3.4845,46.0,12.6105,7.3861
46735.png,train_images\authentic\46735.png,authentic,93,177,3,16461,0.0165,0.5254,132.47,55.25,7.6776,145.75,56.7,115.21,58.06,186.55,54.79,4.5845,4.7227,4.3925,4.3165,46.0,9.8293,6.043
46754.png,train_images\authentic\46754.png,authentic,3888,2592,3,10077696,10.0777,1.5,183.96,30.08,6.4026,164.59,34.11,205.75,35.97,122.66,45.22,1.1567,1.971,1.2383,1.2178,27.0,15.0223,8.4179
46819.png,train_images\authentic\46819.png,authentic,256,256,3,65536,0.0655,1.0,5.4,9.44,2.3348,5.4,9.44,5.4,9.44,5.4,9.44,0.576,0.8325,0.4732,0.5712,7.0,9.8447,5.2425
46836.png,train_images\authentic\46836.png,authentic,1000,666,3,666000,0.666,1.5015,100.42,40.65,7.2859,106.18,75.24,102.21,36.15,76.09,44.25,4.8228,5.2168,2.7416,2.4595,33.0,12.4366,8.3156
46849.png,train_images\authentic\46849.png,authentic,2568,1912,3,4910016,4.91,1.3431,50.7,14.51,5.5761,50.7,14.51,50.7,14.51,50.7,14.51,0.4857,0.373,0.4752,0.5453,5.0,14.1207,6.8278
46885.png,train_images\authentic\46885.png,authentic,1600,1200,3,1920000,1.92,1.3333,1.14,5.36,1.684,2.25,7.22,0.79,5.37,0.06,0.75,0.2285,0.5596,0.3841,0.6624,29.0,12.3304,6.4484
46887.png,train_images\authentic\46887.png,authentic,512,512,3,262144,0.2621,1.0,180.61,26.83,6.7287,189.73,27.05,171.88,28.53,201.64,19.68,5.1618,4.4223,1.1337,1.2428,13.0,11.8483,7.5329
46907.png,train_images\authentic\46907.png,authentic,512,512,3,262144,0.2621,1.0,180.18,37.18,5.8333,180.18,37.18,180.18,37.18,180.18,37.18,2.6686,3.9908,0.8847,0.8207,9.0,12.2006,6.5902
46910.png,train_images\authentic\46910.png,authentic,484,103,3,49852,0.0499,4.699,193.0,61.56,6.5736,193.0,61.56,193.0,61.56,193.0,61.56,3.6964,13.9196,0.7756,0.7681,8.0,9.8124,5.8064
46927.png,train_images\authentic\46927.png,authentic,742,100,3,74200,0.0742,7.42,207.69,7.62,4.8839,207.69,7.62,207.69,7.62,207.69,7.62,5.335,3.7955,2.1569,1.711,13.0,7.5901,6.8097
46933.png,train_images\authentic\46933.png,authentic,1000,666,3,666000,0.666,1.5015,99.98,46.23,7.2994,84.32,59.57,107.96,43.46,100.01,39.01,6.5637,7.3178,3.2517,2.6477,33.0,12.8096,8.706
46935.png,train_images\authentic\46935.png,authentic,320,256,3,81920,0.0819,1.25,154.18,27.68,5.6286,164.49,23.84,138.86,34.11,206.08,5.87,1.7194,2.6292,1.9569,2.1587,30.0,10.9466,6.2361
46969.png,train_images\authentic\46969.png,authentic,701,512,3,358912,0.3589,1.3691,92.82,27.89,4.7603,92.82,27.89,92.82,27.89,92.82,27.89,1.1407,2.422,0.5786,0.6288,9.0,12.2276,6.393
46979.png,train_images\authentic\46979.png,authentic,256,256,3,65536,0.0655,1.0,4.33,7.37,2.269,4.33,7.37,4.33,7.37,4.33,7.37,0.4957,0.5443,0.4407,0.5424,5.0,9.6031,5.1149
47003.png,train_images\authentic\47003.png,authentic,1000,666,3,666000,0.666,1.5015,111.19,54.36,6.8301,159.57,50.65,99.69,58.41,43.45,57.17,3.1183,3.0315,2.5536,2.3606,29.0,13.3405,7.9402
47017.png,train_images\authentic\47017.png,authentic,319,66,3,21054,0.0211,4.8333,158.31,40.8,6.5889,158.31,40.8,158.31,40.8,158.31,40.8,7.1227,5.4839,2.8263,2.2329,14.0,9.3935,6.9983
47033.png,train_images\authentic\47033.png,authentic,1600,1200,3,1920000,1.92,1.3333,5.36,7.1,3.6674,9.17,9.09,4.43,7.33,0.22,1.14,0.6859,0.8625,0.7381,0.8668,48.0,12.4037,7.0022
